Symbol,Change_2d,Change_5d,Change_10d,Change_30d,Change_60d,Change_180d,MTD Change,YTD Change
OII,-0.001043865,,0.152922773,0.325156555,0.377870555,0.210855999,-0.132639216,-0.265337427
OKE,-0.012956214,,0.083891129,0.065536596,0.086929955,-0.033926999,-0.077398114,-0.067606662
OKTA,-0.016915865,,-0.154299085,-0.087289685,-0.211495301,-0.30785049,0.182451127,0.357867968
OLED,0.041563658,,0.026528576,-0.044904788,-0.010557879,0.391414925,-0.025842998,0.023597791
OLLI,-0.022853237,,0.024040367,0.021468126,0.05223584,-0.028789114,-0.023475995,-0.078829867
OLN,-0.023529409,,0.021842276,0.132920846,0.247621598,0.720899566,-0.021375389,-0.264873407
OMAB,-0.019688303,,0.055920208,0.063303217,-0.025293936,-0.054145336,-0.052958744,0.065559441
OMC,0.027875445,,-0.005181072,-0.007344691,-0.013475206,0.184089768,0.005208055,-0.033112307
OMF,0.014145761,,0.169532117,0.191665995,0.093393086,-0.040196033,-0.144957214,-0.102082937
OMI,0.012578604,,0.004192868,-0.11320754,0.455974885,0.627882578,-0.004175361,-0.270084148
ON,0.030331293,,0.097760116,0.097526837,0.258516049,0.673355114,-0.08905417,-0.320222028
ONB,-0.00099347,,0.172450665,0.177880971,0.018427566,-0.079468789,-0.147085647,-0.066940681
ONON,-0.020810243,,0.073278758,0.233340743,0.253708288,0.07659958,-0.068275607,-0.175278477
ONTO,-0.008589546,,0.169302433,0.47130127,0.522116088,0.588022861,-0.144789259,-0.252594942
OPCH,-0.001196801,,0.002393831,-0.061938896,-0.282166335,-0.042788704,-0.002388114,0.440517115
OPEN,0.08108111,,0.207207222,0.234234223,0.324324333,1.045045002,-0.171641801,-0.306250001
OR,-0.057247904,,-0.037289966,0.050420118,-0.019432816,-0.050201033,0.03873437,0.05193373
ORA,0.025738423,,-0.017721549,-0.100562558,-0.075527359,0.066317682,0.018041269,0.049911358
ORCL,0.031973927,,0.151754793,0.240948864,0.07157725,0.118533112,-0.131759636,-0.132654963
ORI,-0.00381886,,0.042296523,-0.022390275,-0.094384726,-0.110218529,-0.040580125,0.080925933
ORLY,0.017008214,,0.037445398,-0.010603778,-0.095509325,-0.14997815,-0.03609385,0.116596394
OSCR,0.060068269,,-0.002730373,0.004778201,-0.032081865,0.475085404,0.002737848,0.090029768
OSIS,0.000166207,,0.142500972,0.143664424,-0.150368434,-0.194470636,-0.124727222,0.078002827
OSK,0.008103883,,0.062857175,0.139657712,-0.07387949,0.033628706,-0.059139813,0.017192325
OTEX,0.01641908,,0.009382321,0.129397947,0.075058643,0.246035597,-0.009295111,-0.096751405
OTIS,0.027385038,,-0.013544268,-0.054099911,-0.106190384,-0.076239184,0.013730234,0.096577739
OTTR,0.002674462,,-0.030756123,-0.042496543,-0.119671678,-0.054006392,0.031732079,0.121325254
OUT,0.058246523,,0.121227505,0.12966685,0.058624134,0.016143233,-0.108120345,-0.08732654
OVV,-0.028248549,,0.11607603,0.142527048,0.11992815,-0.010578095,-0.104003694,-0.038518552
OWL,-0.015906741,,0.141569459,0.249889058,0.186736707,-0.084230677,-0.124013005,-0.183074565
OXY,0.023336255,,0.04995399,0.040065038,0.102838652,0.092508472,-0.047577313,-0.058564585
OZK,0.020450353,,0.103170906,0.178538612,-0.05109275,-0.063427055,-0.093522142,-0.012894189
PAA,0.005693613,,0.052795056,0.022256745,-0.040491275,-0.117019395,-0.050147515,0.152033611
PAAS,-0.044526151,,-0.026552272,0.028186297,-0.128676457,-0.138031816,0.027276526,0.210682511
PAC,0.009521689,,0.046012442,0.03962792,0.006384521,-0.035279892,-0.043988427,0.038287884
PAG,0.045289855,,0.054035444,0.033340282,-0.062268212,-0.063173178,-0.0512653,0.058008307
PAGP,0.004842634,,0.04600488,0.019370442,-0.047631807,-0.12460501,-0.043981516,0.143132828
PAGS,-0.008207927,,0.006839971,0.043775674,-0.129958935,0.247606013,-0.006793504,0.167731578
PAM,-0.015546776,,0.011989407,0.062714124,0.250065815,-0.220816888,-0.011847364,-0.136911537
PANW,-0.028502716,,0.064270947,0.097635958,-0.030794136,-0.030626479,-0.060389647,-0.016652088
PARA,0.046207473,,-0.009590288,-0.080209246,-0.08631218,-0.086912072,0.009683153,0.096558339
PARR,0.021077244,,0.121779814,0.365339516,0.355971918,0.459797045,-0.108559463,-0.218425815
PATH,0.031516175,,0.047700207,0.212095385,0.104770061,0.065587775,-0.045528489,-0.076317881
PATK,0.030285176,,0.063505058,0.091910066,-0.025802649,0.047613278,-0.059712981,0.029698332
PAX,-0.01362403,,0.029064459,0.08537689,0.024523115,-0.004512413,-0.028243574,-0.053310394
PAY,-0.197398364,,-0.108943102,0.050731752,-0.016260163,-0.305691045,0.122262789,-0.058769461
PAYC,0.050130651,,0.06011635,-0.010938099,-0.024269862,-0.183167856,-0.056707313,0.010023218
